,round,day,date,time,home,xg_home,score,xg_away,away,attendance,venue,referee
527,Regular Season,Sat,2021-01-30,15:30,Werder Bremen,0.7,1–1,0.3,Schalke 04,,Weserstadion,Sören Storks
528,Regular Season,Sat,2021-01-30,15:30,Dortmund,1.9,3–1,0.5,Augsburg,,Signal Iduna Park,Patrick Ittrich
529,Regular Season,Sat,2021-01-30,15:30,Bayern Munich,2.0,4–1,2.1,Hoffenheim,,Allianz Arena,Benjamin Cortus
530,Regular Season,Sat,2021-01-30,18:30,RB Leipzig,1.7,1–0,0.5,Leverkusen,,Red Bull Arena,Harm Osmers
531,Regular Season,Sun,2021-01-31,15:30,Köln,1.7,3–1,1.5,Arminia,,RheinEnergieSTADION,Felix Zwayer
532,Regular Season,Sun,2021-01-31,18:00,Wolfsburg,2.3,3–0,0.7,Freiburg,,Volkswagen Arena,Tobias Reichel
534,Regular Season,Fri,2021-02-05,20:00,Hertha BSC,1.4,0–1,2.4,Bayern Munich,,Olympiastadion Berlin,Robert Schröder
535,Regular Season,Sat,2021-02-06,15:30,Mainz 05,1.9,1–0,0.8,Union Berlin,,Opel Arena,Sascha Stegemann
536,Regular Season,Sat,2021-02-06,15:30,Schalke 04,0.2,0–3,2.1,RB Leipzig,,Veltins-Arena,Martin Petersen
537,Regular Season,Sat,2021-02-06,15:30,Freiburg,0.2,2–1,1.5,Dortmund,,Schwarzwald-Stadion,Felix Brych
538,Regular Season,Sat,2021-02-06,15:30,Augsburg,0.6,0–2,2.3,Wolfsburg,,WWK Arena,Robert Hartmann
539,Regular Season,Sat,2021-02-06,15:30,Leverkusen,3.9,5–2,1.5,Stuttgart,,BayArena,Sven Jablonski
540,Regular Season,Sat,2021-02-06,18:30,M'Gladbach,0.8,1–2,0.5,Köln,,Stadion im Borussia-Park,Christian Dingert
541,Regular Season,Sun,2021-02-07,15:30,Hoffenheim,0.9,1–3,1.0,Eint Frankfurt,,PreZero Arena,Daniel Siebert
543,Regular Season,Fri,2021-02-12,20:30,RB Leipzig,2.9,2–1,0.9,Augsburg,,Red Bull Arena,Felix Zwayer
544,Regular Season,Sat,2021-02-13,15:30,Stuttgart,1.3,1–1,1.4,Hertha BSC,,Mercedes-Benz Arena,Harm Osmers
545,Regular Season,Sat,2021-02-13,15:30,Leverkusen,1.3,2–2,2.5,Mainz 05,,BayArena,Guido Winkmann
546,Regular Season,Sat,2021-02-13,15:30,Werder Bremen,0.7,0–0,0.8,Freiburg,,Weserstadion,Manuel Gräfe
547,Regular Season,Sat,2021-02-13,15:30,Dortmund,1.7,2–2,2.6,Hoffenheim,,Signal Iduna Park,Bastian Dankert
548,Regular Season,Sat,2021-02-13,18:30,Union Berlin,2.3,0–0,0.4,Schalke 04,,Stadion An der Alten Försterei,Daniel Schlager
549,Regular Season,Sun,2021-02-14,15:30,Eint Frankfurt,2.0,2–0,0.4,Köln,,Commerzbank-Arena,Frank Willenborg
550,Regular Season,Sun,2021-02-14,18:00,Wolfsburg,0.8,0–0,0.6,M'Gladbach,,Volkswagen Arena,Tobias Stieler
551,Regular Season,Mon,2021-02-15,20:30,Bayern Munich,2.1,3–3,1.2,Arminia,,Allianz Arena,Florian Badstübner
553,Regular Season,Fri,2021-02-19,20:30,Arminia,0.6,0–3,1.1,Wolfsburg,,SchücoArena,Felix Brych
554,Regular Season,Sat,2021-02-20,15:30,Freiburg,0.4,0–1,1.2,Union Berlin,,Schwarzwald-Stadion,Sören Storks
555,Regular Season,Sat,2021-02-20,15:30,M'Gladbach,0.8,1–2,0.7,Mainz 05,,Stadion im Borussia-Park,Markus Schmidt
556,Regular Season,Sat,2021-02-20,15:30,Eint Frankfurt,1.1,2–1,2.0,Bayern Munich,,Commerzbank-Arena,Sascha Stegemann
557,Regular Season,Sat,2021-02-20,15:30,Köln,0.7,0–1,0.5,Stuttgart,,RheinEnergieSTADION,Benjamin Cortus
558,Regular Season,Sat,2021-02-20,18:30,Schalke 04,0.8,0–4,1.7,Dortmund,,Veltins-Arena,Daniel Siebert
559,Regular Season,Sun,2021-02-21,13:30,Augsburg,1.5,1–1,0.5,Leverkusen,,WWK Arena,Christian Dingert
560,Regular Season,Sun,2021-02-21,15:30,Hertha BSC,0.6,0–3,1.0,RB Leipzig,,Olympiastadion Berlin,Sven Jablonski
561,Regular Season,Sun,2021-02-21,18:00,Hoffenheim,1.7,4–0,0.1,Werder Bremen,,PreZero Arena,Robert Schröder
563,Regular Season,Fri,2021-02-26,20:30,Werder Bremen,1.0,2–1,0.9,Eint Frankfurt,,Weserstadion,Robert Hartmann
564,Regular Season,Sat,2021-02-27,15:30,Bayern Munich,2.1,5–1,1.0,Köln,,Allianz Arena,Martin Petersen
565,Regular Season,Sat,2021-02-27,15:30,Dortmund,3.6,3–0,0.6,Arminia,,Signal Iduna Park,Tobias Reichel
566,Regular Season,Sat,2021-02-27,15:30,Stuttgart,2.5,5–1,1.5,Schalke 04,,Mercedes-Benz Arena,Guido Winkmann
567,Regular Season,Sat,2021-02-27,15:30,Wolfsburg,0.5,2–0,1.2,Hertha BSC,,Volkswagen Arena,Bastian Dankert
568,Regular Season,Sat,2021-02-27,18:30,RB Leipzig,1.8,3–2,1.3,M'Gladbach,,Red Bull Arena,Manuel Gräfe
569,Regular Season,Sun,2021-02-28,13:30,Union Berlin,1.0,1–1,1.3,Hoffenheim,,Stadion An der Alten Försterei,Tobias Stieler
570,Regular Season,Sun,2021-02-28,15:30,Mainz 05,0.6,0–1,1.6,Augsburg,,Opel Arena,Daniel Schlager
571,Regular Season,Sun,2021-02-28,18:00,Leverkusen,1.6,1–2,1.4,Freiburg,,BayArena,Felix Zwayer
573,Regular Season,Fri,2021-03-05,20:30,Schalke 04,0.2,0–0,1.1,Mainz 05,,Veltins-Arena,Felix Brych
574,Regular Season,Sat,2021-03-06,15:30,Hertha BSC,2.3,2–1,0.4,Augsburg,,Olympiastadion Berlin,Florian Badstübner
575,Regular Season,Sat,2021-03-06,15:30,M'Gladbach,0.6,0–1,1.5,Leverkusen,,Stadion im Borussia-Park,Daniel Siebert
576,Regular Season,Sat,2021-03-06,15:30,Hoffenheim,1.1,2–1,1.9,Wolfsburg,,PreZero Arena,Markus Schmidt
577,Regular Season,Sat,2021-03-06,15:30,Eint Frankfurt,1.6,1–1,0.5,Stuttgart,,Commerzbank-Arena,Robert Schröder
578,Regular Season,Sat,2021-03-06,15:30,Freiburg,0.1,0–3,1.8,RB Leipzig,,Schwarzwald-Stadion,Guido Winkmann
579,Regular Season,Sat,2021-03-06,18:30,Bayern Munich,2.9,4–2,0.6,Dortmund,,Allianz Arena,Marco Fritz
580,Regular Season,Sun,2021-03-07,15:30,Köln,1.6,1–1,1.3,Werder Bremen,,RheinEnergieSTADION,Matthias Jöllenbeck
581,Regular Season,Sun,2021-03-07,18:00,Arminia,0.5,0–0,0.8,Union Berlin,,SchücoArena,Harm Osmers
583,Regular Season,Wed,2021-03-10,18:30,Arminia,2.6,0–2,1.5,Werder Bremen,,SchücoArena,Markus Schmidt
585,Regular Season,Fri,2021-03-12,20:30,Augsburg,1.6,3–1,3.0,M'Gladbach,,WWK Arena,Sven Jablonski
586,Regular Season,Sat,2021-03-13,15:30,Mainz 05,1.7,1–0,0.9,Freiburg,,Opel Arena,Benjamin Cortus
587,Regular Season,Sat,2021-03-13,15:30,Union Berlin,2.3,2–1,1.3,Köln,,Stadion An der Alten Försterei,Deniz Aytekin
588,Regular Season,Sat,2021-03-13,15:30,Werder Bremen,1.2,1–3,3.0,Bayern Munich,,Weserstadion,Manuel Gräfe
589,Regular Season,Sat,2021-03-13,15:30,Wolfsburg,1.7,5–0,0.2,Schalke 04,,Volkswagen Arena,Sören Storks
590,Regular Season,Sat,2021-03-13,18:30,Dortmund,1.4,2–0,0.4,Hertha BSC,,Signal Iduna Park,Martin Petersen
591,Regular Season,Sun,2021-03-14,13:30,Leverkusen,2.5,1–2,1.5,Arminia,,BayArena,Sascha Stegemann
592,Regular Season,Sun,2021-03-14,15:30,RB Leipzig,1.8,1–1,1.0,Eint Frankfurt,,Red Bull Arena,Felix Zwayer
593,Regular Season,Sun,2021-03-14,18:00,Stuttgart,0.8,2–0,1.1,Hoffenheim,,Mercedes-Benz Arena,Christian Dingert
595,Regular Season,Fri,2021-03-19,20:30,Arminia,0.3,0–1,2.8,RB Leipzig,,SchücoArena,Frank Willenborg
596,Regular Season,Sat,2021-03-20,15:30,Werder Bremen,0.7,1–2,1.6,Wolfsburg,,Weserstadion,Robert Schröder
597,Regular Season,Sat,2021-03-20,15:30,Bayern Munich,2.2,4–0,0.8,Stuttgart,,Allianz Arena,Daniel Schlager
598,Regular Season,Sat,2021-03-20,15:30,Eint Frankfurt,2.4,5–2,2.8,Union Berlin,,Commerzbank-Arena,Markus Schmidt
599,Regular Season,Sat,2021-03-20,15:30,Köln,1.4,2–2,1.8,Dortmund,,RheinEnergieSTADION,Daniel Siebert
600,Regular Season,Sat,2021-03-20,18:30,Schalke 04,0.2,0–3,2.4,M'Gladbach,,Veltins-Arena,Tobias Stieler
700,Regular Season,Fri,2019-08-23,20:30,Köln,0.7,1–3,1.4,Dortmund,50000.0,RheinEnergieSTADION,Christian Dingert
701,Regular Season,Sat,2019-08-24,15:30,Hoffenheim,0.7,3–2,1.3,Werder Bremen,27333.0,PreZero Arena,Sascha Stegemann
702,Regular Season,Sat,2019-08-24,15:30,Düsseldorf,1.0,1–3,1.8,Leverkusen,44538.0,Merkur Spielarena,Patrick Ittrich
703,Regular Season,Sat,2019-08-24,15:30,Mainz 05,1.3,1–3,1.6,M'Gladbach,28005.0,Opel Arena,Martin Petersen
704,Regular Season,Sat,2019-08-24,15:30,Augsburg,1.3,1–1,1.1,Union Berlin,27703.0,WWK Arena,Robert Schröder
705,Regular Season,Sat,2019-08-24,15:30,Paderborn 07,1.7,1–3,2.2,Freiburg,14322.0,Benteler-Arena,Tobias Welz
706,Regular Season,Sat,2019-08-24,18:30,Schalke 04,1.0,0–3,1.5,Bayern Munich,62271.0,Veltins-Arena,Marco Fritz
707,Regular Season,Sun,2019-08-25,15:30,RB Leipzig,1.4,2–1,1.0,Eint Frankfurt,40108.0,Red Bull Arena,Benjamin Cortus
708,Regular Season,Sun,2019-08-25,18:00,Hertha BSC,1.1,0–3,1.2,Wolfsburg,42738.0,Olympiastadion Berlin,Guido Winkmann
710,Regular Season,Fri,2019-08-30,20:30,M'Gladbach,1.1,1–3,2.2,RB Leipzig,47327.0,Stadion im Borussia-Park,Sven Jablonski
711,Regular Season,Sat,2019-08-31,15:30,Schalke 04,1.0,3–0,0.8,Hertha BSC,58875.0,Veltins-Arena,Tobias Stieler
712,Regular Season,Sat,2019-08-31,15:30,Freiburg,0.7,1–2,1.4,Köln,24000.0,Schwarzwald-Stadion,Robert Kampka
713,Regular Season,Sat,2019-08-31,15:30,Bayern Munich,2.7,6–1,0.4,Mainz 05,75000.0,Allianz Arena,Markus Schmidt
714,Regular Season,Sat,2019-08-31,15:30,Wolfsburg,0.6,1–1,0.7,Paderborn 07,23750.0,Volkswagen Arena,Daniel Schlager
715,Regular Season,Sat,2019-08-31,15:30,Leverkusen,0.8,0–0,0.3,Hoffenheim,26506.0,BayArena,Felix Zwayer
716,Regular Season,Sat,2019-08-31,18:30,Union Berlin,1.9,3–1,1.9,Dortmund,22012.0,Stadion An der Alten Försterei,Felix Brych
717,Regular Season,Sun,2019-09-01,15:30,Werder Bremen,2.5,3–2,1.5,Augsburg,40041.0,Weserstadion,Sören Storks
718,Regular Season,Sun,2019-09-01,18:00,Eint Frankfurt,1.2,2–1,0.6,Düsseldorf,49800.0,Commerzbank-Arena,Frank Willenborg
720,Regular Season,Fri,2019-09-13,20:30,Düsseldorf,0.5,1–1,1.3,Wolfsburg,36758.0,Merkur Spielarena,Manuel Gräfe
721,Regular Season,Sat,2019-09-14,15:30,Dortmund,2.5,4–0,0.8,Leverkusen,81365.0,Signal Iduna Park,Daniel Siebert
722,Regular Season,Sat,2019-09-14,15:30,Augsburg,2.0,2–1,1.0,Eint Frankfurt,28513.0,WWK Arena,Harm Osmers
723,Regular Season,Sat,2019-09-14,15:30,Köln,0.9,0–1,1.7,M'Gladbach,50000.0,RheinEnergieSTADION,Deniz Aytekin
724,Regular Season,Sat,2019-09-14,15:30,Union Berlin,1.6,1–2,2.7,Werder Bremen,22012.0,Stadion An der Alten Försterei,Tobias Welz
725,Regular Season,Sat,2019-09-14,15:30,Mainz 05,1.7,2–1,2.2,Hertha BSC,22798.0,Opel Arena,Marco Fritz
726,Regular Season,Sat,2019-09-14,18:30,RB Leipzig,1.5,1–1,1.5,Bayern Munich,42146.0,Red Bull Arena,Sascha Stegemann
727,Regular Season,Sun,2019-09-15,15:30,Hoffenheim,1.5,0–3,1.2,Freiburg,29395.0,PreZero Arena,Guido Winkmann
728,Regular Season,Sun,2019-09-15,18:00,Paderborn 07,1.1,1–5,2.7,Schalke 04,15000.0,Benteler-Arena,Robert Schröder
730,Regular Season,Fri,2019-09-20,20:30,Schalke 04,1.3,2–1,1.2,Mainz 05,58687.0,Veltins-Arena,Daniel Schlager
731,Regular Season,Sat,2019-09-21,15:30,Freiburg,1.0,1–1,1.0,Augsburg,23800.0,Schwarzwald-Stadion,Bastian Dankert
732,Regular Season,Sat,2019-09-21,15:30,Leverkusen,1.7,2–0,0.2,Union Berlin,27430.0,BayArena,Robert Hartmann
733,Regular Season,Sat,2019-09-21,15:30,Hertha BSC,1.3,2–1,1.3,Paderborn 07,43588.0,Olympiastadion Berlin,Frank Willenborg
734,Regular Season,Sat,2019-09-21,15:30,Bayern Munich,2.7,4–0,0.8,Köln,75000.0,Allianz Arena,Patrick Ittrich
735,Regular Season,Sat,2019-09-21,18:30,Werder Bremen,0.7,0–3,1.5,RB Leipzig,40550.0,Weserstadion,Tobias Stieler
736,Regular Season,Sun,2019-09-22,15:30,M'Gladbach,2.8,2–1,0.9,Düsseldorf,52413.0,Stadion im Borussia-Park,Christian Dingert
737,Regular Season,Sun,2019-09-22,18:00,Eint Frankfurt,1.1,2–2,2.2,Dortmund,51500.0,Commerzbank-Arena,Markus Schmidt
738,Regular Season,Mon,2019-09-23,20:30,Wolfsburg,1.2,1–1,0.7,Hoffenheim,21120.0,Volkswagen Arena,Benjamin Cortus
740,Regular Season,Fri,2019-09-27,20:30,Union Berlin,0.6,1–2,1.5,Eint Frankfurt,22012.0,Stadion An der Alten Försterei,Sascha Stegemann
741,Regular Season,Sat,2019-09-28,15:30,RB Leipzig,1.6,1–3,2.6,Schalke 04,42146.0,Red Bull Arena,Manuel Gräfe
742,Regular Season,Sat,2019-09-28,15:30,Augsburg,0.3,0–3,1.2,Leverkusen,27113.0,WWK Arena,Robert Kampka
743,Regular Season,Sat,2019-09-28,15:30,Paderborn 07,0.3,2–3,3.5,Bayern Munich,15000.0,Benteler-Arena,Felix Zwayer
744,Regular Season,Sat,2019-09-28,15:30,Mainz 05,0.7,0–1,0.4,Wolfsburg,24303.0,Opel Arena,Felix Brych
745,Regular Season,Sat,2019-09-28,15:30,Hoffenheim,1.5,0–3,2.2,M'Gladbach,29030.0,PreZero Arena,Harm Osmers
746,Regular Season,Sat,2019-09-28,18:30,Dortmund,2.1,2–2,1.4,Werder Bremen,81365.0,Signal Iduna Park,Deniz Aytekin
747,Regular Season,Sun,2019-09-29,15:30,Düsseldorf,1.3,1–2,1.6,Freiburg,39244.0,Merkur Spielarena,Daniel Siebert
748,Regular Season,Sun,2019-09-29,18:00,Köln,0.8,0–4,1.5,Hertha BSC,49700.0,RheinEnergieSTADION,Sören Storks
750,Regular Season,Fri,2019-10-04,20:30,Hertha BSC,1.7,3–1,1.2,Düsseldorf,37128.0,Olympiastadion Berlin,Martin Petersen
751,Regular Season,Sat,2019-10-05,15:30,Leverkusen,1.3,1–1,1.5,RB Leipzig,26355.0,BayArena,Marco Fritz
752,Regular Season,Sat,2019-10-05,15:30,Freiburg,0.4,2–2,0.7,Dortmund,24000.0,Schwarzwald-Stadion,Sven Jablonski
753,Regular Season,Sat,2019-10-05,15:30,Bayern Munich,1.5,1–2,0.8,Hoffenheim,75000.0,Allianz Arena,Tobias Stieler
754,Regular Season,Sat,2019-10-05,15:30,Paderborn 07,1.6,1–2,2.7,Mainz 05,14217.0,Benteler-Arena,Patrick Ittrich
755,Regular Season,Sat,2019-10-05,18:30,Schalke 04,1.6,1–1,0.6,Köln,61883.0,Veltins-Arena,Tobias Welz
756,Regular Season,Sun,2019-10-06,13:30,M'Gladbach,3.0,5–1,1.2,Augsburg,50352.0,Stadion im Borussia-Park,Robert Schröder
757,Regular Season,Sun,2019-10-06,15:30,Wolfsburg,2.3,1–0,0.5,Union Berlin,27012.0,Volkswagen Arena,Bastian Dankert
758,Regular Season,Sun,2019-10-06,18:00,Eint Frankfurt,2.1,2–2,1.7,Werder Bremen,51500.0,Commerzbank-Arena,Guido Winkmann
760,Regular Season,Fri,2019-10-18,20:30,Eint Frankfurt,2.5,3–0,1.5,Leverkusen,50800.0,Commerzbank-Arena,Christian Dingert
761,Regular Season,Sat,2019-10-19,15:30,Augsburg,2.0,2–2,2.8,Bayern Munich,30660.0,WWK Arena,Daniel Siebert
762,Regular Season,Sat,2019-10-19,15:30,Düsseldorf,1.3,1–0,0.2,Mainz 05,40660.0,Merkur Spielarena,Felix Zwayer
763,Regular Season,Sat,2019-10-19,15:30,Werder Bremen,1.0,1–1,0.5,Hertha BSC,41447.0,Weserstadion,Felix Brych
764,Regular Season,Sat,2019-10-19,15:30,Union Berlin,1.0,2–0,0.5,Freiburg,22012.0,Stadion An der Alten Försterei,Benjamin Cortus
765,Regular Season,Sat,2019-10-19,15:30,RB Leipzig,1.3,1–1,1.5,Wolfsburg,39182.0,Red Bull Arena,Deniz Aytekin
766,Regular Season,Sat,2019-10-19,18:30,Dortmund,2.2,1–0,2.5,M'Gladbach,81365.0,Signal Iduna Park,Sascha Stegemann
767,Regular Season,Sun,2019-10-20,15:30,Köln,2.3,3–0,0.4,Paderborn 07,50000.0,RheinEnergieSTADION,Manuel Gräfe
768,Regular Season,Sun,2019-10-20,18:00,Hoffenheim,1.1,2–0,1.1,Schalke 04,29477.0,PreZero Arena,Robert Hartmann
770,Regular Season,Fri,2019-10-25,20:30,Mainz 05,1.5,3–1,1.9,Köln,31999.0,Opel Arena,Frank Willenborg
771,Regular Season,Sat,2019-10-26,15:30,Hertha BSC,2.2,2–3,2.2,Hoffenheim,44702.0,Olympiastadion Berlin,Markus Schmidt
772,Regular Season,Sat,2019-10-26,15:30,Bayern Munich,3.3,2–1,1.6,Union Berlin,75000.0,Allianz Arena,Marco Fritz
773,Regular Season,Sat,2019-10-26,15:30,Freiburg,1.6,2–1,2.1,RB Leipzig,24000.0,Schwarzwald-Stadion,Harm Osmers
774,Regular Season,Sat,2019-10-26,15:30,Schalke 04,1.1,0–0,0.4,Dortmund,61873.0,Veltins-Arena,Felix Brych
775,Regular Season,Sat,2019-10-26,15:30,Paderborn 07,0.7,2–0,1.4,Düsseldorf,14182.0,Benteler-Arena,Bastian Dankert
776,Regular Season,Sat,2019-10-26,18:30,Leverkusen,1.7,2–2,0.9,Werder Bremen,30210.0,BayArena,Martin Petersen
777,Regular Season,Sun,2019-10-27,15:30,Wolfsburg,0.8,0–0,0.8,Augsburg,22630.0,Volkswagen Arena,Tobias Stieler
778,Regular Season,Sun,2019-10-27,18:00,M'Gladbach,1.8,4–2,1.0,Eint Frankfurt,52300.0,Stadion im Borussia-Park,Daniel Schlager
780,Regular Season,Fri,2019-11-01,20:30,Hoffenheim,1.7,3–0,0.4,Paderborn 07,23629.0,PreZero Arena,Robert Schröder
781,Regular Season,Sat,2019-11-02,15:30,Leverkusen,2.9,1–2,2.2,M'Gladbach,30210.0,BayArena,Daniel Siebert
782,Regular Season,Sat,2019-11-02,15:30,Werder Bremen,1.8,2–2,1.0,Freiburg,41000.0,Weserstadion,Christian Dingert
783,Regular Season,Sat,2019-11-02,15:30,RB Leipzig,3.6,8–0,0.8,Mainz 05,38517.0,Red Bull Arena,Guido Winkmann
784,Regular Season,Sat,2019-11-02,15:30,Eint Frankfurt,2.7,5–1,1.1,Bayern Munich,51500.0,Commerzbank-Arena,Markus Schmidt
785,Regular Season,Sat,2019-11-02,15:30,Dortmund,1.8,3–0,1.6,Wolfsburg,80200.0,Signal Iduna Park,Tobias Welz
786,Regular Season,Sat,2019-11-02,18:30,Union Berlin,1.2,1–0,0.4,Hertha BSC,22012.0,Stadion An der Alten Försterei,Deniz Aytekin
787,Regular Season,Sun,2019-11-03,15:30,Düsseldorf,1.8,2–0,0.7,Köln,51155.0,Merkur Spielarena,Sven Jablonski
788,Regular Season,Sun,2019-11-03,18:00,Augsburg,1.8,2–3,0.5,Schalke 04,30361.0,WWK Arena,Patrick Ittrich
790,Regular Season,Fri,2019-11-08,20:30,Köln,0.7,1–2,1.8,Hoffenheim,49100.0,RheinEnergieSTADION,Robert Kampka
791,Regular Season,Sat,2019-11-09,15:30,Schalke 04,1.6,3–3,1.7,Düsseldorf,61831.0,Veltins-Arena,Robert Hartmann
792,Regular Season,Sat,2019-11-09,15:30,Mainz 05,1.8,2–3,1.0,Union Berlin,24349.0,Opel Arena,Harm Osmers
793,Regular Season,Sat,2019-11-09,15:30,Paderborn 07,1.2,0–1,1.0,Augsburg,13758.0,Benteler-Arena,Marco Fritz
794,Regular Season,Sat,2019-11-09,15:30,Hertha BSC,0.4,2–4,2.0,RB Leipzig,48532.0,Olympiastadion Berlin,Sören Storks
795,Regular Season,Sat,2019-11-09,18:30,Bayern Munich,3.1,4–0,0.5,Dortmund,75000.0,Allianz Arena,Felix Zwayer
796,Regular Season,Sun,2019-11-10,13:30,M'Gladbach,1.4,3–1,1.7,Werder Bremen,54022.0,Stadion im Borussia-Park,Tobias Stieler
797,Regular Season,Sun,2019-11-10,15:30,Wolfsburg,0.8,0–2,1.6,Leverkusen,24112.0,Volkswagen Arena,Manuel Gräfe
798,Regular Season,Sun,2019-11-10,18:00,Freiburg,0.9,1–0,1.0,Eint Frankfurt,24000.0,Schwarzwald-Stadion,Felix Brych
800,Regular Season,Fri,2019-11-22,20:30,Dortmund,2.5,3–3,1.6,Paderborn 07,81365.0,Signal Iduna Park,Christian Dingert
801,Regular Season,Sat,2019-11-23,15:30,Eint Frankfurt,1.0,0–2,1.1,Wolfsburg,50700.0,Commerzbank-Arena,Daniel Siebert
802,Regular Season,Sat,2019-11-23,15:30,Düsseldorf,0.7,0–4,3.5,Bayern Munich,53000.0,Merkur Spielarena,Frank Willenborg
803,Regular Season,Sat,2019-11-23,15:30,Werder Bremen,1.7,1–2,0.5,Schalke 04,42100.0,Weserstadion,Benjamin Cortus
804,Regular Season,Sat,2019-11-23,15:30,Leverkusen,3.5,1–1,1.2,Freiburg,29032.0,BayArena,Deniz Aytekin
805,Regular Season,Sat,2019-11-23,15:30,Union Berlin,1.6,2–0,1.0,M'Gladbach,22012.0,Stadion An der Alten Försterei,Felix Brych
806,Regular Season,Sat,2019-11-23,18:30,RB Leipzig,2.3,4–1,0.4,Köln,42036.0,Red Bull Arena,Robert Schröder
807,Regular Season,Sun,2019-11-24,15:30,Augsburg,2.3,4–0,0.4,Hertha BSC,29233.0,WWK Arena,Sascha Stegemann
808,Regular Season,Sun,2019-11-24,18:00,Hoffenheim,2.0,1–5,1.9,Mainz 05,23129.0,PreZero Arena,Bastian Dankert
810,Regular Season,Fri,2019-11-29,20:30,Schalke 04,1.6,2–1,1.8,Union Berlin,61837.0,Veltins-Arena,Daniel Schlager
811,Regular Season,Sat,2019-11-30,15:30,Paderborn 07,1.6,2–3,2.4,RB Leipzig,13253.0,Benteler-Arena,Bibiana Steinhaus
812,Regular Season,Sat,2019-11-30,15:30,Köln,1.4,1–1,1.8,Augsburg,49200.0,RheinEnergieSTADION,Tobias Stieler
813,Regular Season,Sat,2019-11-30,15:30,Hoffenheim,1.6,1–1,1.0,Düsseldorf,25427.0,PreZero Arena,Martin Petersen
814,Regular Season,Sat,2019-11-30,15:30,Hertha BSC,1.2,1–2,1.2,Dortmund,74667.0,Olympiastadion Berlin,Sven Jablonski
815,Regular Season,Sat,2019-11-30,18:30,Bayern Munich,2.6,1–2,1.3,Leverkusen,75000.0,Allianz Arena,Guido Winkmann
816,Regular Season,Sun,2019-12-01,15:30,M'Gladbach,4.9,4–2,1.3,Freiburg,51080.0,Stadion im Borussia-Park,Felix Zwayer
817,Regular Season,Sun,2019-12-01,18:00,Wolfsburg,2.2,2–3,1.3,Werder Bremen,26012.0,Volkswagen Arena,Robert Kampka
818,Regular Season,Mon,2019-12-02,20:30,Mainz 05,2.1,2–1,1.1,Eint Frankfurt,33134.0,Opel Arena,Manuel Gräfe
820,Regular Season,Fri,2019-12-06,20:30,Eint Frankfurt,2.5,2–2,1.3,Hertha BSC,50000.0,Commerzbank-Arena,Christian Dingert
821,Regular Season,Sat,2019-12-07,15:30,Augsburg,3.2,2–1,0.4,Mainz 05,26950.0,WWK Arena,Markus Schmidt
822,Regular Season,Sat,2019-12-07,15:30,M'Gladbach,1.3,2–1,1.7,Bayern Munich,54022.0,Stadion im Borussia-Park,Marco Fritz
823,Regular Season,Sat,2019-12-07,15:30,Dortmund,3.0,5–0,0.1,Düsseldorf,81365.0,Signal Iduna Park,Daniel Siebert
824,Regular Season,Sat,2019-12-07,15:30,Freiburg,0.4,1–0,1.2,Wolfsburg,23800.0,Schwarzwald-Stadion,Bastian Dankert
825,Regular Season,Sat,2019-12-07,15:30,RB Leipzig,3.8,3–1,1.1,Hoffenheim,38407.0,Red Bull Arena,Deniz Aytekin
826,Regular Season,Sat,2019-12-07,18:30,Leverkusen,2.3,2–1,1.1,Schalke 04,30210.0,BayArena,Harm Osmers
827,Regular Season,Sun,2019-12-08,15:30,Union Berlin,2.0,2–0,1.1,Köln,22012.0,Stadion An der Alten Försterei,Patrick Ittrich
828,Regular Season,Sun,2019-12-08,18:00,Werder Bremen,0.9,0–1,1.3,Paderborn 07,39870.0,Weserstadion,Sascha Stegemann
830,Regular Season,Fri,2019-12-13,20:30,Hoffenheim,2.1,2–4,2.2,Augsburg,23309.0,PreZero Arena,Bibiana Steinhaus
831,Regular Season,Sat,2019-12-14,15:30,Bayern Munich,4.9,6–1,0.5,Werder Bremen,75000.0,Allianz Arena,Robert Schröder
832,Regular Season,Sat,2019-12-14,15:30,Paderborn 07,1.0,1–1,1.3,Union Berlin,14414.0,Benteler-Arena,Sven Jablonski
833,Regular Season,Sat,2019-12-14,15:30,Mainz 05,0.2,0–4,1.2,Dortmund,33305.0,Opel Arena,Benjamin Cortus
834,Regular Season,Sat,2019-12-14,15:30,Köln,1.5,2–0,0.2,Leverkusen,49500.0,RheinEnergieSTADION,Manuel Gräfe
835,Regular Season,Sat,2019-12-14,15:30,Hertha BSC,0.7,1–0,0.8,Freiburg,37343.0,Olympiastadion Berlin,Frank Willenborg
836,Regular Season,Sat,2019-12-14,18:30,Düsseldorf,0.1,0–3,3.4,RB Leipzig,35387.0,Merkur Spielarena,Robert Hartmann
837,Regular Season,Sun,2019-12-15,15:30,Wolfsburg,1.1,2–1,0.4,M'Gladbach,25580.0,Volkswagen Arena,Felix Brych
838,Regular Season,Sun,2019-12-15,18:00,Schalke 04,1.0,1–0,0.7,Eint Frankfurt,60811.0,Veltins-Arena,Felix Zwayer
840,Regular Season,Tue,2019-12-17,18:30,Werder Bremen,1.0,0–5,2.8,Mainz 05,37720.0,Weserstadion,Frank Willenborg
841,Regular Season,Tue,2019-12-17,20:30,Dortmund,1.1,3–3,2.5,RB Leipzig,80200.0,Signal Iduna Park,Tobias Stieler
842,Regular Season,Tue,2019-12-17,20:30,Union Berlin,1.3,0–2,0.8,Hoffenheim,20350.0,Stadion An der Alten Försterei,Sören Storks
